Survived,Pclass,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare,rand-feature
0,3,1,33.0,0,0,8.6625,2.9745883369993997
0,3,1,25.0,0,0,7.25,1.5641342311029438
1,3,0,27.0,0,2,11.1333,2.3067885430923787
0,3,0,41.0,0,5,39.6875,2.646205508373911
0,1,1,64.0,0,0,27.7208,0.4506406728096879
1,2,0,36.0,1,0,26.0,1.1716582604990808
0,3,1,40.0,0,0,8.05,2.9347252557135954
0,3,1,22.0,0,0,7.8958,0.13554974842726575
0,3,1,32.0,1,0,15.85,2.2967426776705544
1,1,0,54.0,1,0,78.2667,1.55968201430103
1,1,1,34.0,0,0,26.55,0.2566503905630336
1,3,1,4.0,1,1,11.1333,1.434695565691448
0,1,1,28.0,0,0,31.0,0.02056376424327988
0,1,1,47.0,0,0,25.5875,1.0092436973995444
0,3,1,30.0,0,0,8.05,1.7836917106299794
0,3,1,40.5,0,2,14.5,1.5993068333577969
0,3,1,21.0,0,0,16.1,0.2335694093479861
0,1,0,25.0,1,2,151.55,2.5131986926024146
1,2,1,34.0,0,0,13.0,0.4644083558337784
0,2,1,19.0,0,0,10.5,0.43843971662221837
0,3,0,39.0,1,5,31.275,1.5980618842494774
1,2,0,46.0,0,0,12.35,0.634045927254767
1,2,0,35.0,0,0,21.0,0.2787547395863803
0,3,0,2.0,0,1,10.4625,1.820360706616152
0,3,1,74.0,0,0,7.775,2.2101696873020376
0,2,1,54.0,0,0,26.0,0.5801083367105133
0,3,1,20.0,0,0,8.6625,2.578053079519052
1,2,0,23.0,0,0,13.7917,2.7774168175082363
0,3,0,12.0,3,1,25.4667,1.2441656325269594
1,3,0,15.0,0,0,7.225,0.4319078845254223
1,2,0,17.0,0,0,10.5,1.7146982918067817
0,2,1,30.0,0,0,10.5,0.12871455727441372
0,3,1,69.0,0,0,14.5,0.8356097197536115
0,3,1,25.0,0,0,7.8958,2.0173833271193544
0,3,1,19.0,0,0,10.1708,1.606035423986563
0,3,0,18.0,1,0,14.4583,1.54682377978527
0,3,1,55.0,0,0,15.1,2.1401688944546575
0,3,1,23.0,0,0,7.8542,1.1799155992483148
0,2,1,21.0,0,0,0.0,1.3535417706145698
0,3,1,22.0,0,0,7.25,0.4575041935651947
1,2,0,54.0,1,3,23.0,2.324951640208402
0,3,1,20.0,8,2,69.55,0.5985626689544485
0,3,1,22.0,0,0,7.8958,2.644991804207192
0,3,1,16.0,0,0,9.2167,0.8467440700905196
0,3,1,28.0,0,0,7.8958,1.4390240838670814
0,3,1,28.0,1,0,24.15,2.792576376214474
1,1,0,41.0,0,0,134.5,0.8490490151176597
0,3,1,40.0,0,0,7.225,0.9725921314558669
0,1,1,22.0,0,0,135.6333,2.6757413894233792
0,2,1,27.0,0,0,13.0,2.7975418788846884
1,2,0,27.0,0,0,10.5,0.3686137313449671
0,3,1,26.0,1,0,7.8542,1.2176494389837944
0,2,1,21.0,2,0,73.5,0.46818415594256735
0,3,1,25.0,0,0,7.65,1.558943407315855
1,2,0,7.0,0,2,26.25,0.666199044975677
0,1,1,19.0,3,2,263.0,1.2072671120636498
0,2,0,57.0,0,0,10.5,1.1575574458785611
0,3,0,41.0,0,2,20.2125,1.1600590083620599
0,3,1,43.0,0,0,8.05,1.3694192296585699
0,3,0,20.0,1,0,9.825,0.5825258084417165
0,1,1,36.0,0,0,40.125,1.4647070329425649
1,1,0,51.0,1,0,77.9583,1.2833537731766507
1,2,1,42.0,0,0,13.0,1.3297702753056675
0,1,1,40.0,0,0,0.0,2.9858094449358816
1,2,0,22.0,1,2,41.5792,0.7039998598444739
0,3,0,28.0,0,0,8.1375,1.9970329543170044
1,3,0,1.0,0,2,15.7417,1.9809461249999232
0,3,0,20.0,0,0,8.6625,1.467133385894424
0,2,1,31.0,1,1,26.25,1.2986387931862742
0,3,1,22.0,0,0,7.7375,0.49352918555174363
0,3,1,49.0,0,0,7.775,2.157752253810547
0,3,1,22.0,1,0,7.75,2.322929166876236
0,3,1,16.0,0,0,8.7125,0.8731864283504862
0,2,1,32.0,0,0,10.5,0.33797577237978205
0,3,1,35.0,0,0,7.225,2.7895539135107335
0,3,1,42.0,0,0,7.8958,0.788315147525593
0,3,0,31.0,0,0,7.8542,0.6301772258700337
1,3,1,20.0,1,0,7.925,1.7759247771937914
1,3,0,2.0,0,1,12.2875,0.0985957254846378
0,3,0,3.0,3,1,21.075,2.5896671371549176
0,1,1,56.0,0,0,30.6958,0.8178041955769261
0,2,1,25.0,0,0,13.0,0.8162151072319461
1,1,1,25.0,1,0,91.0792,0.9899473369406092
1,1,0,48.0,0,0,25.9292,0.47586397115190526
1,3,1,29.0,0,0,7.775,0.1453270982932816
1,1,1,35.0,0,0,26.2875,0.6200310898272003
1,1,1,28.0,0,0,26.55,1.8199803027971262
1,3,0,23.0,0,0,7.55,2.7874105829995592
1,1,0,58.0,0,0,26.55,0.697595203807058
0,3,1,26.0,0,0,7.775,1.1192829019007373
0,2,1,42.0,1,0,27.0,1.0483260279013384
1,2,0,30.0,0,0,13.0,2.558722260823854
0,2,1,30.0,0,0,13.0,1.26938521940292
0,3,0,37.0,0,0,9.5875,2.905870514408318
1,3,0,24.0,0,0,7.8792,0.33066754370675555
0,3,0,11.0,4,2,31.275,1.643616793687959
1,1,0,41.0,1,0,51.8625,2.5359275322866144
1,2,0,34.0,0,1,23.0,0.6524569001911875
1,1,0,18.0,0,2,79.65,1.6591515395031813
1,1,0,30.0,0,0,93.5,0.2676335620152588
1,3,0,35.0,0,0,7.2292,0.6084440326105214
1,1,1,48.0,0,0,26.55,1.818523096403558
0,3,1,42.0,0,0,7.8958,1.4256694630975315
1,3,1,26.0,0,0,56.4958,2.070077303586202
1,1,1,45.0,0,0,30.0,2.36651134676507
1,1,0,39.0,1,0,55.9,0.7682543803186918
1,1,1,17.0,0,2,110.8833,2.9643454421143756
0,3,0,22.0,0,0,10.5167,0.6062567079278564
0,3,1,20.0,0,0,9.225,2.63531163915391
0,2,1,19.0,0,0,0.0,0.4868100561867873
1,3,0,22.0,0,0,7.75,0.8046470088334948
0,3,1,28.0,1,0,15.85,2.608279765018513
1,1,0,32.0,0,0,76.2917,2.128138946069001
0,3,1,51.0,0,0,7.75,2.5981841906808794
1,1,0,40.0,1,1,134.5,1.774938652302109
0,2,1,60.0,1,1,39.0,0.2601013639567189
0,3,1,27.0,1,0,14.4542,0.33426485146071305
1,2,0,25.0,1,1,30.0,1.1627345772432727
0,1,1,31.0,1,0,52.0,1.1516775439956877
0,1,1,54.0,0,1,77.2875,0.9471782361799888
0,1,1,62.0,0,0,26.55,0.9089578849336881
0,3,1,20.0,0,0,8.05,1.3785097391223031
0,3,1,23.5,0,0,7.2292,2.751518022067595
0,3,1,24.0,0,0,8.05,2.8729049984594077
1,1,0,44.0,0,0,27.7208,0.7399272514496184
0,2,0,44.0,1,0,26.0,1.5126528128436256
0,3,1,27.0,0,0,8.4583,0.43602380469436963
1,2,0,34.0,0,0,13.0,0.14594349048043986
1,2,0,19.0,0,0,26.0,0.5348877383535645
1,2,0,8.0,0,2,26.25,2.887412786184827
0,3,1,18.0,0,0,7.2292,0.23567959613819622
0,3,1,19.0,0,0,6.75,1.3580587832416704
1,2,0,3.0,1,2,41.5792,1.7755482738342852
1,3,0,24.0,0,2,16.7,0.9026264690736501
1,1,0,29.0,0,0,211.3375,2.5329347591470457
0,3,1,44.0,0,0,8.05,0.901465173652285
1,1,0,53.0,2,0,51.4792,2.5077425736797445
1,3,0,19.0,1,0,7.8542,2.8010658138043523
0,3,1,40.0,1,4,27.9,2.739097290880898
0,3,1,28.0,0,0,9.5,0.08111855166034898
0,3,1,28.0,2,0,7.925,1.7190171678112385
0,3,0,18.0,0,1,14.4542,0.7429740102039385
0,3,1,31.0,0,0,7.75,2.512671947569306
1,1,0,52.0,1,1,93.5,2.1645064122325763
1,1,1,0.92,1,2,151.55,2.191007064661307
1,3,0,36.0,1,0,17.4,0.4338308854288886
0,3,1,42.0,0,0,7.55,2.2686585187246022
0,3,1,24.0,0,0,7.8958,0.5595688739928956
0,3,1,23.0,0,0,7.8958,2.060453560735929
1,1,0,31.0,0,2,164.8667,0.7734372760357175
1,2,0,28.0,1,0,26.0,1.0798083613135065
1,3,1,21.0,0,0,7.7958,2.049695220171081
0,1,1,70.0,1,1,71.0,1.228170834835073
1,2,0,18.0,0,2,13.0,1.2060106507235848
0,2,1,29.0,0,0,10.5,0.15643770825926784
1,2,0,30.0,0,0,12.35,2.3869828283454635
1,2,0,28.0,0,0,13.0,0.12117470710837952
1,1,0,33.0,1,0,53.1,1.031629919685022
1,2,0,13.0,0,1,19.5,2.863837978791434
1,1,0,35.0,0,0,135.6333,2.100472455988932
1,3,0,18.0,1,0,15.5,2.6983142568781435
0,2,1,36.0,0,0,12.875,2.690618398520366
1,1,0,38.0,0,0,227.525,0.8293363601634001
0,2,1,19.0,1,1,36.75,1.7525806348485848
1,1,0,24.0,0,0,69.3,1.9140947913636635
0,3,1,33.0,0,0,7.8958,1.5716665773856744
0,3,1,40.5,0,0,7.75,0.4627895377156468
0,3,1,37.0,1,0,16.1,0.33971922514922814
1,1,0,21.0,2,2,262.375,2.9916462029955992
0,3,0,6.0,4,2,31.275,2.4218335739704058
0,3,1,36.0,0,0,7.8958,0.44226141243046024
0,3,1,20.0,0,0,7.75,0.44248406313019273
0,3,1,21.0,0,0,8.05,2.4466322337495585
1,1,0,47.0,1,1,52.5542,2.286680295896971
0,2,1,28.0,0,1,33.0,1.8717161367851138
1,1,0,40.0,1,0,89.1042,1.8297043051089137
0,2,1,28.0,0,0,13.5,1.6618283390499222
0,3,1,32.0,0,0,7.8958,1.8252722377034185
0,3,1,20.0,0,0,7.8542,2.1618930908476695
0,3,1,21.0,0,0,7.8292,2.602415210262095
0,3,1,34.0,0,0,8.05,1.5083908564418858
0,3,0,21.0,2,2,34.375,1.105939345016078
1,3,0,15.0,0,0,8.0292,0.8065445031821679
0,1,1,29.0,1,0,66.6,1.083206774832409
0,2,1,25.0,1,0,26.0,2.2952681873652674
1,2,0,50.0,0,1,26.0,0.4407895363846419
0,3,1,16.0,4,1,39.6875,2.9276638271322337
0,3,1,30.0,0,0,7.25,0.35713917550993235
0,2,1,24.0,0,0,10.5,1.3748774418670742
0,3,1,31.0,0,0,7.775,2.316794762385379
0,3,1,27.0,0,0,7.8958,1.2181491600103707
0,1,1,46.0,1,0,61.175,2.1941487306475924
0,2,1,35.0,0,0,26.0,2.6744923234936877
1,1,1,4.0,0,2,81.8583,0.8889119320411821
0,3,0,45.0,0,0,7.75,0.18644059927640655
0,3,0,39.0,0,5,29.125,0.02817413801300994
0,2,1,52.0,0,0,13.0,1.5381377205701616
1,1,0,48.0,1,0,39.6,2.7451296255319977
0,3,1,26.0,0,0,7.225,1.9190206935301832
1,3,0,28.0,2,0,23.25,0.727945317430408
0,3,0,40.0,0,2,7.75,1.3802421947280108
1,1,1,26.0,0,0,30.0,0.08641125002899086
1,1,0,33.0,0,0,86.5,1.5889147348074157
0,3,1,19.0,0,0,7.775,2.2504624361670222
1,1,1,29.0,0,0,29.7,2.7063139247430104
0,1,1,27.0,0,2,211.5,2.7033928380076038
0,3,0,16.0,5,2,46.9,2.1525008257202627
1,1,1,46.0,0,0,35.5,1.6269251321317801
0,1,1,36.0,1,0,78.85,1.1522153994800064
0,2,1,36.0,0,0,10.5,1.6169625963057
0,3,1,33.0,1,1,20.525,0.41926502333109594
0,2,1,59.0,0,0,13.5,1.273637490705124
0,3,1,26.0,2,0,8.6625,1.763003814799521
0,1,0,50.0,0,0,28.7125,0.10923590392324978
0,2,1,35.0,0,0,10.5,2.5623481925882583
0,3,1,17.0,0,0,7.75,1.521377236836666
0,2,1,21.0,1,0,11.5,0.4961063263921265
1,2,0,30.0,3,0,21.0,2.1690663780234116
0,3,1,28.0,0,0,7.75,1.5740935782040455
0,3,1,30.0,0,0,8.05,0.3384712679422407
1,3,0,29.0,0,2,15.2458,0.8060538811191149
1,2,0,14.0,1,0,30.0708,0.08395347412146525
0,3,1,32.0,0,0,7.925,2.616198338116072
0,1,1,46.0,0,0,39.6,1.3923529429082326
1,3,1,27.0,0,0,7.7958,0.4200009615730306
1,1,1,27.0,1,0,53.1,1.7618320321963474
1,2,0,40.0,0,0,13.0,0.3180963895619484
0,3,1,15.0,1,1,7.2292,0.7203016454377706
0,2,1,33.0,0,0,12.275,2.2568456376225514
0,3,1,19.0,1,0,19.9667,1.684978192039305
0,3,1,25.0,0,0,7.05,1.5514480208466583
0,2,1,18.0,0,0,11.5,0.22385072209201617
0,3,1,1.0,5,2,46.9,1.7616445583384175
0,3,1,29.0,0,0,7.775,1.5174649576077992
0,3,1,28.5,0,0,7.2292,2.318050224319441
0,1,1,56.0,0,0,26.55,2.3737115373413427
0,2,1,43.0,1,1,26.25,1.5724235733853278
1,2,0,24.0,2,1,27.0,1.6146523412883247
1,3,0,23.0,0,0,7.8792,1.3575284161263745
0,3,1,22.0,1,0,7.25,0.8228592396873572
0,3,1,18.0,8,2,69.55,0.6410710407863746
1,2,0,36.0,0,0,13.0,2.7815406887278766
1,1,0,24.0,0,0,69.3,1.3855949609256375
0,3,1,43.0,0,0,6.45,0.15939911986862665
1,2,1,27.0,0,0,13.8625,1.1498028462225462
0,3,1,20.0,1,0,15.5,0.7252050676090994
1,3,0,20.0,0,0,7.75,0.9101221799692573
1,3,0,16.0,0,0,7.7333,0.7900821530353994
0,3,1,28.0,0,0,9.5,2.2029753801202863
0,2,1,16.0,0,0,26.0,1.6180222710943846
1,1,0,58.0,0,1,153.4625,2.498744378387825
1,2,0,27.0,1,0,13.8583,0.09915172432902064
0,3,1,44.0,0,0,8.05,0.9590440266634286
1,1,0,30.0,0,0,106.425,2.4082248608501935
0,3,0,62.0,0,0,8.05,2.2349253746771396
0,3,1,11.0,0,0,18.7875,0.39117326296962984
0,2,1,24.0,0,0,13.0,2.2135114260528503
1,1,0,42.0,0,0,110.8833,1.5584771349250248
0,2,1,34.0,1,0,26.0,0.6436117073379595
0,1,1,45.0,1,0,83.475,1.7662866517369398
1,3,0,38.0,1,5,31.3875,2.6808403678653976
0,3,1,16.0,0,0,7.775,0.09378019332546916
0,1,1,18.0,1,0,108.9,1.833835528369096
1,2,0,42.0,1,0,26.0,1.9540007553228602
0,3,1,21.0,0,0,7.05,0.5118353485931458
0,3,1,29.0,0,0,8.05,1.3740741005766517
1,1,0,49.0,1,0,76.7292,1.5857756533997986
0,2,1,31.0,0,0,10.5,1.0981528320028275
0,3,1,29.0,0,0,7.225,0.9352068334940092
0,3,1,20.0,0,0,7.925,2.3235362670504163
0,3,1,16.0,1,3,34.375,2.8142969499352093
0,3,1,19.0,0,0,7.8958,1.4561706897511029
0,2,1,48.0,0,0,13.0,0.2611772847277104
0,3,1,20.0,0,0,7.8542,2.5393173161136082
1,1,0,49.0,0,0,25.9292,0.07343454265623328
1,3,1,29.0,0,0,9.5,1.4770775134360608
1,3,1,32.0,0,0,7.8542,1.9671678804129138
0,3,1,1.0,4,1,39.6875,0.6953182181594374
0,2,1,37.0,0,0,0.0,2.8902900439898684
0,3,1,4.0,4,2,31.275,2.2159384598649754
0,3,0,14.5,1,0,14.4542,0.6192028849804959
1,3,1,7.0,1,1,15.2458,1.2491457699910433
1,2,0,21.0,0,0,10.5,1.3905189904949127
0,2,1,28.0,0,0,13.0,2.694398588563387
0,3,1,28.0,0,0,8.05,1.7219058954448245
1,1,0,19.0,1,0,91.0792,0.5380576719916413
0,3,1,54.0,0,0,7.25,2.617975717734538
0,3,1,11.0,5,2,46.9,1.6073107152015331
0,3,1,19.0,0,0,7.75,2.7492264499143615
0,3,1,18.0,1,0,6.4958,1.5740325792417913
0,1,1,54.0,0,0,51.8625,0.6113716079120206
0,1,1,45.0,0,0,35.5,2.4605161444221886
1,1,0,48.0,0,1,55.0,0.8176868315320824
1,1,1,45.0,0,0,26.55,0.31669767784306135
0,3,1,19.0,0,0,7.8958,0.6671828530309515
0,3,1,4.0,3,2,27.9,0.8243042904527376
0,3,1,26.0,0,0,14.4583,2.7174200556927293
0,3,1,26.0,1,2,20.575,2.735075784516881
0,2,1,25.0,0,0,13.0,0.5689514397715429
0,2,1,23.0,0,0,13.0,2.1505369823234948
1,1,0,45.0,1,1,164.8667,0.37733757662788836
1,1,0,26.0,0,0,78.85,0.358189304564026
0,3,1,22.0,0,0,7.7958,2.785783125140069
0,2,1,19.0,0,0,13.0,0.7137515439580787
0,3,1,41.0,0,0,7.125,1.4387422130134042
1,2,0,24.0,1,2,65.0,2.23332997662903
0,2,1,22.0,0,0,0.0,2.9188923650091976
1,3,1,19.0,0,0,8.05,2.148705876623846
0,2,1,44.0,1,0,26.0,0.9003344086530959
1,3,0,22.0,0,0,7.75,1.2714926151881012
0,1,1,40.0,0,0,27.7208,2.1304003713464743
1,3,0,31.0,0,0,8.6833,2.9368698620783533
0,3,1,17.0,0,0,7.125,0.6105835954391976
0,3,0,9.0,3,2,27.9,1.895607344170041
0,2,1,31.0,1,1,37.0042,1.1252000631555827
0,2,1,29.0,1,0,21.0,1.659611178396165
0,3,1,37.0,0,0,8.6625,2.0621712659387055
0,1,1,28.0,1,0,82.1708,2.8404052677557696
1,3,1,20.0,1,1,15.7417,0.951428025502226
1,1,0,25.0,1,0,82.1708,0.3748834839562687
0,3,0,18.0,0,0,6.75,1.2411169069790056
1,3,1,25.0,0,0,0.0,0.3303584988257974
0,3,1,14.0,4,1,39.6875,2.808798589494966
0,3,1,36.0,0,0,7.4958,1.3096194714502896
1,3,1,4.0,1,1,15.2458,2.2706028666852163
1,3,0,0.75,2,1,19.2583,1.8803655266215484
1,2,0,33.0,0,2,26.0,2.8495602561584867
0,3,0,30.0,1,1,24.15,0.5707613740970553
1,2,1,1.0,0,2,37.0042,1.770958286499361
0,3,1,35.0,0,0,7.05,2.0367554919159216
0,3,1,30.0,1,0,16.1,2.698469821341532
0,3,1,23.0,0,0,9.225,0.8570449856900103
0,2,0,38.0,0,0,13.0,0.357066640514052
0,1,1,50.0,1,0,55.9,2.3799798082283674
1,3,0,27.0,0,0,7.75,0.0884329886831311
0,3,1,27.0,0,0,6.8583,2.7950226231610347
0,3,1,24.0,0,0,7.4958,0.22372261137792038
0,3,1,30.0,0,0,7.2292,2.2128900028015948
0,1,1,47.0,0,0,34.0208,1.4209469447402732
0,3,1,24.5,0,0,8.05,2.6916338984168564
0,3,0,30.0,0,0,8.6625,1.900398478259853
1,1,0,39.0,1,1,79.65,1.3914102639970996
1,3,0,13.0,0,0,7.2292,0.5675786925305879
0,3,1,24.0,2,0,24.15,2.8025208203339176
1,3,0,19.0,0,0,7.8792,2.557476419231149
0,3,1,22.0,0,0,7.25,1.1194977647772624
0,1,1,47.0,0,0,52.0,2.8615824149437588
0,3,1,17.0,0,0,8.6625,1.2354045937402347
0,2,1,30.0,0,0,13.0,0.17269094545033692
0,3,0,14.0,0,0,7.8542,0.841203860506676
1,1,0,22.0,0,0,151.55,1.836430925501729
1,3,1,29.0,0,0,7.8958,1.1640012041238559
1,1,0,54.0,1,0,59.4,2.668560919462088
0,3,1,26.0,0,0,7.8958,1.7013940611733793
0,3,1,23.0,0,0,14.5,1.4945943155407062
1,2,0,28.0,0,0,12.65,2.19349329158002
